client,true_value,geo_value
c1,3,1
c2,3,7
c3,5,5
c4,1,2
c5,4,4
c6,5,6
c7,6,9
c8,5,5
c9,5,6
c10,7,7
c11,6,5
c12,6,5
c13,7,9
c14,4,5
c15,3,3
c16,6,5
c17,5,6
c18,6,3
c19,2,10
c20,6,4
c21,6,9
c22,6,5
c23,5,9
c24,5,6
c25,1,10
c26,6,4
c27,8,9
c28,10,9
c29,4,6
c30,6,6
c31,3,5
c32,4,4
c33,5,5
c34,6,4
c35,4,6
c36,5,4
c37,2,2
c38,9,2
c39,7,5
c40,5,6
c41,3,2
c42,4,6
c43,4,5
c44,6,9
c45,8,8
c46,8,10
c47,2,7
c48,5,5
c49,7,7
c50,5,5
c51,7,7
c52,4,6
c53,5,5
c54,8,2
c55,7,10
c56,5,4
c57,2,2
c58,4,7
c59,6,4
c60,8,3
c61,6,2
c62,2,10
c63,8,9
c64,5,6
c65,6,5
c66,5,5
c67,4,4
c68,7,5
c69,6,6
c70,7,6
c71,7,10
c72,9,8
c73,6,2
c74,5,6
c75,5,5
c76,2,9
c77,5,6
c78,4,4
c79,7,7
c80,4,1
c81,5,6
c82,7,7
c83,5,5
c84,7,5
c85,6,6
c86,5,6
c87,5,6
c88,5,4
c89,4,1
c90,7,8
c91,5,5
c92,5,4
c93,5,5
c94,4,2
c95,2,5
c96,4,6
c97,6,6
c98,5,10
c99,6,7
c100,8,1
c101,7,3
c102,1,2
c103,5,9
c104,8,8
c105,6,10
c106,5,5
c107,7,4
c108,4,5
c109,4,4
c110,2,6
c111,2,1
c112,8,2
c113,7,9
c114,5,4
c115,7,8
c116,7,7
c117,8,7
c118,6,6
c119,3,3
c120,6,7
c121,1,1
c122,8,3
c123,5,5
c124,7,7
c125,5,2
c126,7,2
c127,6,4
c128,5,5
c129,6,4
c130,5,4
c131,6,6
c132,6,10
c133,5,5
c134,4,5
c135,3,6
c136,6,3
c137,4,5
c138,7,7
c139,4,6
c140,7,3
c141,5,6
c142,7,3
c143,6,4
c144,6,4
c145,5,4
c146,6,4
c147,6,4
c148,4,6
c149,5,5
c150,5,5
c151,7,7
c152,4,6
c153,5,5
c154,6,4
c155,4,6
c156,6,4
c157,6,8
c158,2,5
c159,1,10
c160,8,10
c161,6,1
c162,7,10
c163,7,8
c164,5,6
c165,2,10
c166,6,7
c167,3,9
c168,6,8
c169,7,10
c170,8,10
c171,7,7
c172,8,3
c173,4,4
c174,7,7
c175,4,5
c176,2,2
c177,4,4
c178,5,1
c179,6,6
