client,cohort,value
c1,0,55
c2,0,34
c3,0,75
c4,0,34
c5,0,50
c6,0,40
c7,0,53
c8,0,72
c9,0,58
c10,0,35
c11,0,32
c12,0,49
c13,0,35
c14,0,52
c15,0,54
c16,0,46
c17,0,62
c18,0,57
c19,0,83
c20,0,31
c21,0,67
c22,0,27
c23,0,43
c24,0,49
c25,0,61
c26,0,86
c27,0,20
c28,0,26
c29,0,83
c30,0,37
c31,0,43
c32,0,65
c33,0,45
c34,0,42
c35,0,53
c36,0,46
c37,0,50
c38,0,53
c39,0,37
c40,0,61
c41,0,27
c42,0,48
c43,0,55
c44,0,44
c45,0,55
c46,0,46
c47,0,54
c48,0,39
c49,0,48
c50,0,52
c51,0,51
c52,0,30
c53,0,27
c54,0,36
c55,0,35
c56,0,43
c57,0,46
c58,0,53
c59,0,35
c60,0,57
c61,0,58
c62,0,47
c63,0,61
c64,0,54
c65,0,25
c66,0,64
c67,0,30
c68,0,82
c69,0,46
c70,0,55
c71,0,35
c72,0,43
c73,0,63
c74,0,40
c75,0,41
c76,0,49
c77,0,42
c78,0,20
c79,0,49
c80,0,32
c81,0,49
c82,0,54
c83,0,26
c84,0,58
c85,0,45
c86,0,73
c87,0,57
c88,0,71
c89,0,62
c90,0,58
c91,0,50
c92,0,46
c93,0,41
c94,0,34
c95,0,39
c96,0,57
c97,0,35
c98,0,77
c99,0,62
c100,0,37
c101,0,43
c102,0,46
c103,0,36
c104,0,30
c105,0,30
c106,0,52
c107,0,53
c108,0,50
c109,0,46
c110,0,74
c111,0,33
c112,0,57
c113,0,38
c114,0,62
c115,0,17
c116,0,66
c117,0,30
c118,0,26
c119,0,43
c120,0,56
c121,0,41
c122,0,61
c123,0,21
c124,0,49
c125,0,68
c126,0,91
c127,0,44
c128,0,86
c129,0,68
c130,0,47
c131,0,23
c132,0,44
c133,0,50
c134,0,52
c135,0,38
c136,0,40
c137,0,55
c138,0,33
c139,0,26
c140,0,50
c141,0,48
c142,0,25
c143,0,36
c144,0,54
c145,0,42
c146,0,54
c147,0,36
c148,0,44
c149,0,39
c150,0,33
c151,0,37
c152,0,48
c153,0,71
c154,0,35
c155,0,46
c156,0,56
c157,0,64
c158,0,57
c159,0,77
c160,0,59
c161,0,67
c162,0,48
c163,0,54
c164,0,51
c165,0,58
c166,0,33
c167,0,44
c168,0,59
c169,0,36
c170,0,42
c171,0,52
c172,0,31
c173,0,53
c174,0,91
c175,0,45
c176,0,62
c177,0,47
c178,0,69
c179,0,59
c180,0,34
c181,0,26
c182,0,53
c183,0,43
c184,0,47
c185,0,59
c186,0,29
c187,0,49
c188,0,29
c189,0,41
c190,0,42
c191,0,58
c192,0,41
c193,0,39
c194,0,97
c195,0,40
c196,0,54
c197,0,54
c198,0,39
c199,0,25
c200,0,49
c201,0,22
c202,0,41
c203,0,26
c204,0,31
c205,0,52
c206,0,52
c207,0,98
c208,0,34
c209,0,42
c210,0,50
c211,0,71
c212,0,47
c213,0,50
c214,0,55
c215,0,36
c216,0,62
c217,0,76
c218,0,32
c219,0,87
c220,0,59
c221,0,81
c222,0,38
c223,0,42
c224,0,50
c225,0,57
c226,0,45
c227,0,46
c228,0,62
c229,0,31
c230,0,52
c231,0,58
c232,0,40
c233,0,41
c234,0,46
c235,0,29
c236,0,52
c237,0,48
c238,0,48
c239,0,27
c240,0,52
c241,0,15
c242,0,58
c243,0,90
c244,0,45
c245,0,53
c246,0,38
c247,0,35
c248,0,50
c249,0,67
c250,0,28
c251,0,54
c252,0,73
c253,0,42
c254,0,40
c255,0,50
c256,0,40
c257,0,45
c258,0,44
c259,0,78
c260,0,32
c261,0,90
c262,0,65
c263,0,32
c264,0,60
c265,0,47
c266,0,44
c267,0,49
c268,0,30
c269,0,58
c270,0,61
c271,0,65
c272,0,67
c273,0,61
c274,0,54
c275,0,34
c276,0,38
c277,0,68
c278,0,42
c279,0,35
c280,0,48
c281,0,59
c282,0,51
c283,0,50
c284,0,30
c285,0,45
c286,0,51
c287,0,48
c288,0,66
c289,0,7
c290,0,41
c291,0,81
c292,0,49
c293,0,31
c294,0,58
c295,0,83
c296,0,67
c297,0,58
c298,0,48
c299,0,70
c300,0,42
c301,0,39
c302,0,31
c303,0,60
c304,0,31
c305,0,63
c306,0,23
c307,0,17
c308,0,39
c309,0,37
c310,0,53
c311,0,51
c312,0,35
c313,0,25
c314,0,36
c315,0,52
c316,0,35
c317,0,58
c318,0,28
c319,0,82
c320,0,41
c321,0,21
c322,0,55
c323,0,27
c324,0,52
c325,0,30
c326,0,53
c327,0,25
c328,0,57
