client,cohort,value
c1,0,75
c2,0,14
c3,0,10
c4,0,18
c5,0,7
c6,0,1
c7,0,43
c8,0,10
c9,0,18
c10,0,26
c11,0,8
c12,0,6
c13,0,6
c14,0,20
c15,0,5
c16,0,4
c17,0,3
c18,0,74
c19,0,4
c20,0,15
c21,0,45
c22,0,10
c23,0,40
c24,0,1
c25,0,14
c26,0,21
c27,0,12
c28,0,8
c29,0,14
c30,0,39
c31,0,26
c32,0,2
c33,0,1
c34,0,88
c35,0,11
c36,0,24
c37,0,20
c38,0,18
c39,0,43
c40,0,51
c41,0,24
c42,0,22
c43,0,14
c44,0,46
c45,0,60
c46,0,9
c47,0,17
c48,0,3
c49,0,5
c50,0,58
c51,0,15
c52,0,17
c53,0,8
c54,0,9
c55,0,7
c56,0,1
c57,0,16
c58,0,23
c59,0,21
c60,0,20
c61,0,6
c62,0,3
c63,0,14
c64,0,9
c65,0,8
c66,0,5
c67,0,27
c68,0,27
c69,0,15
c70,0,75
c71,0,16
c72,0,18
c73,0,12
c74,0,6
c75,0,31
c76,0,18
c77,0,5
c78,0,4
c79,0,23
c80,0,3
c81,0,24
c82,0,30
c83,0,1
c84,0,18
c85,0,6
c86,0,2
c87,0,18
c88,0,9
c89,0,50
c90,0,13
c91,0,2
c92,0,18
c93,0,14
c94,0,8
c95,0,15
c96,0,3
c97,0,17
c98,0,4
c99,0,29
c100,0,7
c101,0,27
c102,0,12
c103,0,21
c104,0,4
c105,0,30
c106,0,28
c107,0,2
c108,0,3
c109,0,2
c110,0,19
c111,0,24
c112,0,5
c113,0,12
c114,0,4
c115,0,5
c116,0,22
c117,0,2
c118,0,7
c119,0,1
c120,0,1
c121,0,36
c122,0,49
c123,0,6
c124,0,87
c125,0,33
c126,0,16
c127,0,3
c128,0,63
c129,0,7
c130,0,16
c131,0,45
c132,0,28
c133,0,12
c134,0,5
c135,0,11
c136,0,8
c137,0,36
c138,0,18
c139,0,16
c140,0,35
c141,0,9
c142,0,23
c143,0,46
c144,0,37
c145,0,1
c146,0,14
c147,0,46
c148,0,30
c149,0,11
c150,0,22
c151,0,11
c152,0,12
c153,0,20
c154,0,15
c155,0,14
c156,0,10
c157,0,21
c158,0,36
c159,0,3
c160,0,26
c161,0,28
c162,0,18
c163,0,12
c164,0,9
c165,0,7
c166,0,22
c167,0,55
c168,0,6
c169,0,3
c170,0,28
c171,0,51
c172,0,3
c173,0,13
c174,0,16
c175,0,3
c176,0,36
c177,0,3
c178,0,65
c179,0,4
c180,0,2
c181,0,20
c182,0,25
c183,0,44
c184,0,19
c185,0,20
c186,0,21
c187,0,20
c188,0,1
c189,0,25
c190,0,39
c191,0,9
c192,0,49
c193,0,12
c194,0,18
c195,0,34
c196,0,3
c197,0,10
c198,0,4
c199,0,13
c200,0,6
c201,0,6
c202,0,16
c203,0,72
c204,0,8
c205,0,6
c206,0,27
c207,0,29
c208,0,10
c209,0,22
c210,0,20
c211,0,56
c212,0,50
c213,0,4
c214,0,11
c215,0,34
c216,0,16
c217,0,1
c218,0,2
c219,0,10
c220,0,37
c221,0,6
c222,0,25
c223,0,42
c224,0,18
c225,0,68
c226,0,50
c227,0,7
c228,0,3
c229,0,6
c230,0,45
c231,0,49
c232,0,29
c233,0,21
c234,0,31
c235,0,12
c236,0,5
c237,0,41
c238,0,1
c239,0,48
c240,0,19
c241,0,22
c242,0,30
c243,0,26
c244,0,19
c245,0,22
c246,0,33
c247,0,30
c248,0,3
c249,0,7
c250,0,1
c251,0,37
c252,0,14
c253,0,14
c254,0,36
c255,0,4
c256,0,10
c257,0,1
c258,0,13
c259,0,25
c260,0,61
c261,0,9
c262,0,23
c263,0,35
c264,0,8
c265,0,6
c266,0,1
c267,0,1
c268,0,1
c269,0,32
c270,0,2
c271,0,17
c272,0,5
c273,0,39
c274,0,48
c275,0,37
c276,0,20
c277,0,45
c278,0,22
c279,0,10
c280,0,3
c281,0,50
c282,0,9
c283,0,1
c284,0,15
c285,0,26
c286,0,5
c287,0,10
c288,0,9
c289,0,54
c290,0,31
c291,0,4
c292,0,13
c293,0,23
c294,0,65
c295,0,27
c296,0,26
c297,0,10
c298,0,79
c299,0,43
c300,0,11
c301,0,24
c302,0,43
c303,0,22
c304,0,24
c305,0,14
c306,0,48
c307,0,1
c308,0,20
c309,0,1
c310,0,6
c311,0,9
c312,0,12
c313,0,20
c314,0,27
c315,0,27
c316,0,14
c317,0,5
c318,0,13
c319,0,27
c320,0,15
c321,0,7
c322,0,58
c323,0,34
c324,0,1
c325,0,4
c326,0,4
c327,0,3
c328,0,12
c329,0,4
c330,0,30
c331,0,19
c332,0,8
c333,0,22
c334,0,2
c335,0,16
c336,0,14
c337,0,1
c338,0,19
c339,0,21
c340,0,12
c341,0,28
c342,0,6
c343,0,11
c344,0,4
c345,0,8
c346,0,19
c347,0,8
c348,0,15
c349,0,5
c350,0,44
c351,0,7
c352,0,17
c353,0,20
c354,0,16
c355,0,9
c356,0,19
c357,0,31
c358,0,9
c359,0,1
c360,0,32
c361,0,15
c362,0,62
c363,0,65
c364,0,71
c365,0,7
c366,0,12
c367,0,31
c368,0,10
c369,0,1
c370,0,42
c371,0,51
c372,0,6
c373,0,63
c374,0,1
c375,0,6
c376,0,15
c377,0,28
c378,0,21
c379,0,6
c380,0,9
c381,0,24
c382,0,14
c383,0,17
c384,0,15
c385,0,11
c386,0,32
c387,0,47
c388,0,3
c389,0,6
c390,0,36
c391,0,39
c392,0,3
c393,0,7
c394,0,14
c395,0,6
c396,0,26
c397,0,4
c398,0,36
c399,0,9
c400,0,5
c401,0,42
c402,0,4
c403,0,18
c404,0,7
c405,0,4
c406,0,16
c407,0,30
c408,0,35
c409,0,5
c410,0,23
c411,0,54
c412,0,11
c413,0,12
c414,0,76
c415,0,51
c416,0,30
c417,0,64
c418,0,12
c419,0,37
c420,0,39
c421,0,5
c422,0,46
c423,0,32
c424,0,11
c425,0,20
c426,0,11
c427,0,14
c428,0,24
c429,0,21
c430,0,8
c431,0,29
c432,0,18
c433,0,92
c434,0,12
c435,0,12
c436,0,12
c437,0,2
c438,0,9
c439,0,38
c440,0,35
c441,0,8
c442,0,12
c443,0,15
c444,0,36
c445,0,6
c446,0,3
c447,0,21
c448,0,19
c449,0,22
c450,0,62
c451,0,11
c452,0,9
c453,0,3
c454,0,33
c455,0,19
c456,0,18
c457,0,12
c458,0,43
c459,0,18
c460,0,49
c461,0,28
c462,0,7
c463,0,59
c464,0,8
c465,0,11
c466,0,18
c467,0,39
c468,0,1
c469,0,1
c470,0,3
c471,0,39
c472,0,64
c473,0,5
c474,0,23
c475,0,15
c476,0,22
c477,0,9
c478,0,11
c479,0,7
c480,0,14
c481,0,2
c482,0,5
c483,0,6
c484,0,58
c485,0,5
c486,0,7
c487,0,1
c488,0,8
c489,0,17
c490,0,23
c491,0,2
c492,0,7
c493,0,7
c494,0,2
c495,0,12
c496,0,10
c497,0,9
c498,0,81
c499,0,40
c500,0,18
c501,0,26
c502,0,40
c503,0,1
c504,0,1
c505,0,1
c506,0,21
c507,0,1
c508,0,19
c509,0,5
c510,0,22
c511,0,2
c512,0,19
c513,0,2
c514,0,6
c515,0,36
c516,0,11
c517,0,1
c518,0,2
c519,0,43
c520,0,2
c521,0,7
c522,0,10
c523,0,1
c524,0,4
c525,0,19
c526,0,4
c527,0,45
c528,0,5
c529,0,24
c530,0,28
c531,0,13
c532,0,10
c533,0,9
c534,0,12
c535,0,9
c536,0,37
c537,0,55
c538,0,4
c539,0,27
c540,0,20
c541,0,30
c542,0,8
c543,0,28
c544,0,14
c545,0,6
c546,0,24
c547,0,4
c548,0,9
c549,0,7
c550,0,48
c551,0,3
c552,0,20
c553,0,85
c554,0,11
c555,0,4
c556,0,1
c557,0,29
c558,0,19
c559,0,59
c560,0,12
c561,0,2
c562,0,18
c563,0,1
c564,0,5
c565,0,2
c566,0,28
c567,0,21
c568,0,9
c569,0,63
c570,0,44
c571,0,2
c572,0,1
c573,0,12
c574,0,14
c575,0,4
c576,0,9
c577,0,6
c578,0,35
c579,0,14
c580,0,7
c581,0,56
c582,0,1
c583,0,4
c584,0,47
c585,0,48
c586,0,5
c587,0,20
c588,0,3
c589,0,2
c590,0,3
c591,0,21
c592,0,43
c593,0,3
c594,0,11
c595,0,64
c596,0,29
c597,0,18
c598,0,12
c599,0,3
c600,0,2
c601,0,4
c602,0,38
c603,0,10
c604,0,25
c605,0,2
c606,0,2
c607,0,30
c608,0,10
c609,0,10
c610,0,57
c611,0,30
c612,0,44
c613,0,46
c614,0,9
c615,0,17
c616,0,2
c617,0,21
c618,0,27
c619,0,21
c620,0,21
c621,0,15
c622,0,11
c623,0,2
c624,0,6
c625,0,5
c626,0,3
c627,0,3
c628,0,25
c629,0,23
c630,0,12
c631,0,6
c632,0,9
c633,0,60
c634,0,1
c635,0,41
c636,0,31
c637,0,14
c638,0,8
c639,0,13
c640,0,23
c641,0,28
c642,0,3
c643,0,22
c644,0,43
c645,0,25
c646,0,1
c647,0,36
c648,0,2
c649,0,2
c650,0,78
c651,0,94
c652,0,8
c653,0,26
c654,0,33
c655,0,7
c656,0,17
c657,0,84
c658,0,2
c659,0,9
c660,0,9
c661,0,77
c662,0,6
c663,0,12
c664,0,36
c665,0,17
c666,0,3
c667,0,29
c668,0,10
c669,0,11
c670,0,19
c671,0,16
c672,0,21
c673,0,57
c674,0,6
c675,0,5
c676,0,9
c677,0,3
c678,0,9
c679,0,23
c680,0,50
c681,0,12
c682,0,3
c683,0,8
c684,0,10
c685,0,19
c686,0,17
c687,0,12
c688,0,13
c689,0,10
c690,0,7
c691,0,15
c692,0,51
c693,0,44
c694,0,33
c695,0,3
c696,0,35
c697,0,2
c698,0,3
c699,0,24
c700,0,1
c701,0,19
c702,0,3
c703,0,27
c704,0,9
c705,0,1
c706,0,21
c707,0,7
c708,0,1
c709,0,3
c710,0,30
c711,0,10
c712,0,22
c713,0,51
c714,0,7
c715,0,34
c716,0,6
c717,0,5
c718,0,8
c719,0,69
c720,0,9
c721,0,43
c722,0,31
c723,0,2
c724,0,8
c725,0,18
c726,0,21
c727,0,11
c728,0,53
c729,0,5
c730,0,2
c731,0,34
c732,0,29
c733,0,24
c734,0,10
c735,0,21
c736,0,3
c737,0,9
c738,0,26
c739,0,3
c740,0,6
c741,0,4
c742,0,34
c743,0,27
c744,0,64
c745,0,19
c746,0,48
c747,0,10
c748,0,11
c749,0,10
c750,0,16
c751,0,2
c752,0,28
c753,0,20
c754,0,12
c755,0,72
c756,0,3
c757,0,43
c758,0,31
c759,0,17
c760,0,43
c761,0,26
c762,0,1
c763,0,42
c764,0,25
c765,0,1
c766,0,64
c767,0,16
c768,0,43
c769,0,15
c770,0,28
c771,0,27
c772,0,8
c773,0,12
c774,0,34
c775,0,2
c776,0,28
c777,0,2
c778,0,1
c779,0,6
c780,0,6
c781,0,7
c782,0,31
c783,0,34
c784,0,4
c785,0,11
c786,0,9
c787,0,4
c788,0,6
c789,0,4
c790,0,22
c791,0,26
c792,0,11
c793,0,45
c794,0,29
c795,0,3
c796,0,12
c797,0,17
c798,0,29
c799,0,3
c800,0,10
c801,0,4
c802,0,4
c803,0,4
c804,0,30
c805,0,29
c806,0,22
c807,0,17
c808,0,17
c809,0,45
c810,0,8
c811,0,11
c812,0,3
c813,0,63
c814,0,18
c815,0,10
c816,0,11
c817,0,22
c818,0,3
c819,0,26
c820,0,31
c821,0,7
c822,0,34
c823,0,3
c824,0,32
c825,0,18
c826,0,58
c827,0,7
c828,0,29
c829,0,34
c830,0,3
c831,0,3
c832,0,27
c833,0,11
c834,0,4
c835,0,25
c836,0,16
c837,0,21
c838,0,8
c839,0,3
c840,0,32
c841,0,35
c842,0,1
c843,0,16
c844,0,31
c845,0,67
c846,0,23
c847,0,3
c848,0,3
c849,0,39
c850,0,4
c851,0,17
c852,0,29
c853,0,10
c854,0,28
c855,0,8
c856,0,64
c857,0,14
c858,0,27
c859,0,7
c860,0,18
c861,0,17
c862,0,6
c863,0,6
c864,0,49
c865,0,6
c866,0,11
c867,0,2
c868,0,4
c869,0,14
c870,0,25
c871,0,18
c872,0,21
c873,0,8
c874,0,17
c875,0,3
c876,0,26
c877,0,22
c878,0,52
c879,0,9
c880,0,4
c881,0,25
c882,0,4
c883,0,9
c884,0,6
c885,0,18
c886,0,20
c887,0,19
c888,0,4
c889,0,11
c890,0,23
c891,0,9
c892,0,10
c893,0,2
c894,0,3
c895,0,9
c896,0,2
c897,0,20
c898,0,9
c899,0,65
c900,0,37
c901,0,7
c902,0,42
c903,0,79
c904,0,59
c905,0,58
c906,0,27
c907,0,6
c908,0,3
c909,0,22
c910,0,19
c911,0,6
c912,0,16
c913,0,6
c914,0,2
