client,cohort,value
c1,0,64
c2,0,16
c3,0,80
c4,0,29
c5,0,35
c6,0,34
c7,0,48
c8,0,32
c9,0,39
c10,0,39
c11,0,44
c12,0,64
c13,0,45
c14,0,53
c15,0,45
c16,0,57
c17,0,41
c18,0,30
c19,0,54
c20,0,41
c21,0,76
c22,0,15
c23,0,67
c24,0,19
c25,0,59
c26,0,49
c27,0,96
c28,0,42
c29,0,55
c30,0,70
c31,0,42
c32,0,62
c33,0,62
c34,0,43
c35,0,45
c36,0,34
c37,0,30
c38,0,14
c39,0,40
c40,0,78
c41,0,35
c42,0,55
c43,0,59
c44,0,11
c45,0,44
c46,0,70
c47,0,70
c48,0,25
c49,0,41
c50,0,74
c51,0,66
c52,0,27
c53,0,58
c54,0,43
c55,0,39
c56,0,56
c57,0,90
c58,0,45
c59,0,66
c60,0,57
c61,0,46
c62,0,47
c63,0,42
c64,0,54
c65,0,68
c66,0,69
c67,0,53
c68,0,74
c69,0,34
c70,0,59
c71,0,46
c72,0,41
c73,0,32
c74,0,41
c75,0,79
c76,0,55
c77,0,43
c78,0,56
c79,0,35
c80,0,60
c81,0,72
c82,0,76
c83,0,28
c84,0,17
c85,0,38
c86,0,61
c87,0,57
c88,0,49
c89,0,9
c90,0,52
c91,0,34
c92,0,51
c93,0,65
c94,0,80
c95,0,55
c96,0,59
c97,0,66
c98,0,14
c99,0,50
c100,0,65
c101,0,47
c102,0,66
c103,0,46
c104,0,13
c105,0,41
c106,0,42
c107,0,57
c108,0,56
c109,0,49
c110,0,28
c111,0,33
c112,0,69
c113,0,33
c114,0,56
c115,0,54
c116,0,71
c117,0,46
c118,0,62
c119,0,52
c120,0,72
c121,0,24
c122,0,52
c123,0,67
c124,0,48
c125,0,40
c126,0,62
c127,0,49
c128,0,33
c129,0,24
c130,0,44
c131,0,64
c132,0,53
c133,0,66
c134,0,32
c135,0,31
c136,0,59
c137,0,55
c138,0,45
c139,0,56
c140,0,49
c141,0,67
c142,0,29
c143,0,29
c144,0,51
c145,0,41
c146,0,55
c147,0,33
c148,0,50
c149,0,31
c150,0,29
c151,0,35
c152,0,34
c153,0,26
c154,0,76
c155,0,59
c156,0,47
c157,0,48
c158,0,32
c159,0,38
c160,0,35
c161,0,72
c162,0,44
c163,0,74
c164,0,47
c165,0,57
c166,0,55
c167,0,43
c168,0,36
c169,0,72
c170,0,56
c171,0,59
c172,0,49
c173,0,61
c174,0,36
c175,0,59
c176,0,31
c177,0,9
c178,0,48
c179,0,42
c180,0,89
c181,0,61
c182,0,57
c183,0,27
c184,0,60
c185,0,61
c186,0,48
c187,0,67
c188,0,35
c189,0,38
c190,0,37
c191,0,59
c192,0,68
c193,0,53
c194,0,92
c195,0,67
c196,0,70
c197,0,56
c198,0,53
c199,0,49
c200,0,38
c201,0,52
c202,0,62
c203,0,51
c204,0,60
c205,0,75
c206,0,15
c207,0,41
c208,0,65
c209,0,54
c210,0,54
c211,0,38
c212,0,67
c213,0,53
c214,0,74
c215,0,71
c216,0,65
c217,0,39
c218,0,100
c219,0,61
c220,0,83
c221,0,78
c222,0,32
c223,0,33
c224,0,37
c225,0,57
c226,0,56
c227,0,60
c228,0,45
c229,0,51
c230,0,52
c231,0,81
c232,0,44
c233,0,43
c234,0,59
c235,0,67
c236,0,56
c237,0,39
c238,0,58
c239,0,36
c240,0,63
c241,0,50
c242,0,37
c243,0,77
c244,0,48
c245,0,36
c246,0,61
c247,0,51
c248,0,57
c249,0,57
c250,0,81
c251,0,46
c252,0,24
c253,0,56
c254,0,22
c255,0,35
c256,0,47
c257,0,41
c258,0,39
c259,0,41
c260,0,84
c261,0,42
c262,0,22
c263,0,78
c264,0,56
c265,0,47
c266,0,35
c267,0,14
c268,0,50
c269,0,47
c270,0,48
c271,0,75
c272,0,80
c273,0,42
c274,0,50
c275,0,68
c276,0,28
c277,0,49
c278,0,71
c279,0,42
c280,0,57
c281,0,48
c282,0,66
c283,0,42
c284,0,56
c285,0,83
c286,0,44
c287,0,68
c288,0,50
c289,0,52
c290,0,52
c291,0,53
c292,0,69
c293,0,40
c294,0,60
c295,0,80
c296,0,48
c297,0,53
c298,0,64
c299,0,25
c300,0,29
c301,0,40
c302,0,28
c303,0,70
c304,0,33
c305,0,51
c306,0,58
c307,0,31
c308,0,43
c309,0,75
c310,0,59
c311,0,38
c312,0,29
c313,0,51
c314,0,57
c315,0,34
c316,0,65
c317,0,38
c318,0,65
c319,0,36
c320,0,29
c321,0,71
c322,0,46
c323,0,17
c324,0,52
c325,0,46
c326,0,43
c327,0,64
c328,0,82
c329,0,61
c330,0,67
c331,0,92
c332,0,49
c333,0,45
c334,0,66
c335,0,46
c336,0,40
c337,0,37
c338,0,39
c339,0,66
c340,0,61
c341,0,71
c342,0,46
c343,0,40
c344,0,86
c345,0,30
c346,0,54
c347,0,43
c348,0,53
c349,0,78
c350,0,39
c351,0,30
c352,0,57
c353,0,53
c354,0,10
c355,0,44
c356,0,52
c357,0,38
c358,0,44
c359,0,74
c360,0,78
c361,0,31
c362,0,57
c363,0,37
c364,0,84
c365,0,27
c366,0,42
c367,0,37
c368,0,32
c369,0,58
c370,0,71
c371,0,44
c372,0,74
c373,0,66
c374,0,47
c375,0,69
c376,0,89
c377,0,51
c378,0,49
c379,0,50
c380,0,77
c381,0,43
c382,0,53
c383,0,45
c384,0,73
c385,0,71
c386,0,47
c387,0,52
c388,0,47
c389,0,33
c390,0,26
c391,0,52
c392,0,24
c393,0,45
c394,0,38
c395,0,63
c396,0,58
c397,0,47
c398,0,58
c399,0,66
c400,0,82
c401,0,54
c402,0,73
c403,0,54
c404,0,34
c405,0,60
c406,0,62
c407,0,39
c408,0,62
c409,0,35
c410,0,32
c411,0,26
c412,0,22
c413,0,43
c414,0,43
c415,0,42
c416,0,43
c417,0,19
c418,0,75
c419,0,53
c420,0,55
c421,0,76
c422,0,36
c423,0,62
c424,0,64
c425,0,52
c426,0,52
c427,0,30
c428,0,46
c429,0,40
c430,0,38
c431,0,58
c432,0,55
c433,0,34
c434,0,29
c435,0,37
c436,0,26
c437,0,29
c438,0,68
c439,0,40
c440,0,58
c441,0,58
c442,0,58
c443,0,57
c444,0,42
c445,0,26
c446,0,7
c447,0,62
c448,0,52
c449,0,45
c450,0,34
c451,0,37
c452,0,63
c453,0,41
c454,0,54
c455,0,49
c456,0,46
c457,0,26
c458,0,36
c459,0,59
c460,0,58
c461,0,49
c462,0,50
c463,0,77
c464,0,32
c465,0,79
c466,0,74
c467,0,37
c468,0,59
c469,0,47
c470,0,58
c471,0,65
c472,0,32
c473,0,79
c474,0,75
c475,0,44
c476,0,67
c477,0,54
c478,0,50
c479,0,46
c480,0,35
c481,0,66
c482,0,23
c483,0,48
c484,0,50
c485,0,58
c486,0,54
c487,0,68
c488,0,51
c489,0,79
c490,0,52
c491,0,17
c492,0,70
c493,0,44
c494,0,98
c495,0,30
c496,0,61
c497,0,35
c498,0,77
c499,0,42
c500,0,50
c501,0,61
c502,0,70
c503,0,37
c504,0,31
c505,0,45
c506,0,71
c507,0,34
c508,0,49
c509,0,57
c510,0,46
c511,0,74
c512,0,5
c513,0,55
c514,0,95
c515,0,75
c516,0,74
c517,0,51
c518,0,69
c519,0,40
c520,0,47
c521,0,62
c522,0,65
c523,0,84
c524,0,57
c525,0,44
c526,0,27
c527,0,42
c528,0,69
c529,0,85
c530,0,83
c531,0,44
c532,0,39
c533,0,49
c534,0,56
c535,0,59
c536,0,66
c537,0,42
c538,0,67
c539,0,45
c540,0,41
c541,0,64
c542,0,57
c543,0,63
c544,0,36
c545,0,54
c546,0,19
c547,0,60
c548,0,57
c549,0,62
c550,0,48
c551,0,69
c552,0,55
c553,0,43
c554,0,70
c555,0,40
c556,0,59
c557,0,61
