client,true_value,mrr_value
c1,47,14
c2,24,99
c3,4,48
c4,25,70
c5,19,19
c6,18,47
c7,4,49
c8,71,18
c9,80,15
c10,15,56
c11,12,30
c12,22,16
c13,19,27
c14,2,59
c15,12,46
c16,52,52
c17,3,38
c18,8,63
c19,2,56
c20,1,70
c21,29,91
c22,61,61
c23,1,74
c24,7,61
c25,20,60
c26,3,53
c27,11,99
c28,13,93
c29,23,74
c30,2,90
c31,16,30
c32,14,77
c33,6,6
c34,1,64
c35,6,43
c36,40,38
c37,9,74
c38,20,20
c39,8,96
c40,15,53
c41,7,18
c42,21,42
c43,18,32
c44,16,16
c45,10,10
c46,3,3
c47,4,92
c48,3,66
c49,5,5
c50,1,60
c51,9,9
c52,27,27
c53,12,26
c54,6,87
c55,9,9
c56,9,4
c57,8,28
c58,11,11
c59,27,77
c60,6,31
c61,21,21
c62,11,55
c63,4,13
c64,70,70
c65,11,75
c66,22,59
c67,32,97
c68,43,28
c69,1,30
c70,17,37
c71,33,18
c72,82,98
c73,10,86
c74,1,1
c75,5,7
c76,1,80
c77,14,14
c78,2,67
c79,15,75
c80,17,88
c81,2,35
c82,10,65
c83,53,84
c84,30,38
c85,9,33
c86,6,40
c87,5,5
c88,3,57
c89,3,21
c90,8,20
c91,90,45
c92,57,98
c93,11,59
c94,11,11
c95,12,55
c96,24,66
c97,5,67
c98,41,25
c99,13,28
c100,5,66
c101,22,20
c102,9,97
c103,8,35
c104,50,50
c105,3,85
c106,31,47
c107,33,40
c108,15,82
c109,7,17
c110,24,24
c111,2,31
c112,2,5
c113,6,6
c114,1,1
c115,34,94
c116,43,29
c117,10,10
c118,3,7
c119,3,91
c120,9,49
c121,14,65
c122,13,13
c123,8,15
c124,12,95
c125,11,49
c126,29,29
c127,8,8
c128,34,3
c129,16,34
c130,5,75
c131,12,71
c132,6,81
c133,2,8
c134,4,95
c135,10,38
c136,7,7
c137,3,24
c138,9,9
c139,7,7
c140,11,23
c141,3,87
c142,41,18
c143,10,19
c144,13,69
c145,51,22
c146,16,53
c147,36,55
c148,16,37
c149,43,43
c150,18,96
c151,51,56
c152,20,20
c153,12,48
c154,20,80
c155,27,33
c156,2,63
c157,10,50
c158,11,11
c159,9,25
c160,4,4
c161,9,9
c162,15,84
c163,3,31
c164,13,71
c165,6,6
c166,10,27
c167,1,65
c168,61,8
c169,6,88
c170,23,31
c171,12,81
c172,1,1
c173,3,61
c174,37,47
c175,3,67
c176,8,11
c177,3,81
c178,7,27
c179,1,7
c180,13,16
c181,31,58
c182,6,82
c183,33,3
c184,5,19
c185,1,46
c186,36,66
c187,35,35
c188,7,93
c189,3,29
c190,7,56
c191,18,39
c192,33,6
c193,1,83
c194,4,40
c195,7,63
c196,21,52
c197,16,31
c198,1,46
c199,44,50
c200,19,67
c201,14,83
c202,6,76
c203,1,42
c204,5,99
c205,34,53
c206,12,12
c207,11,67
c208,14,51
c209,5,5
c210,26,47
c211,12,12
c212,7,47
c213,5,61
c214,17,27
c215,10,10
c216,4,68
c217,66,46
c218,18,77
c219,6,27
c220,5,50
c221,5,65
c222,43,2
c223,3,82
c224,3,97
c225,2,2
c226,2,93
c227,55,47
c228,23,23
c229,27,86
c230,10,50
c231,19,60
c232,54,61
c233,18,48
c234,20,39
c235,41,39
c236,54,41
c237,1,36
c238,11,60
c239,37,45
c240,17,67
c241,4,45
c242,7,95
c243,5,5
c244,42,91
c245,7,96
c246,28,66
c247,49,90
c248,15,100
c249,16,16
c250,10,45
c251,8,8
c252,2,77
c253,10,25
c254,16,18
c255,7,65
c256,17,17
c257,25,88
c258,52,17
c259,30,65
c260,66,30
c261,30,30
c262,2,73
c263,12,99
c264,2,2
c265,10,1
c266,32,35
c267,14,59
c268,21,13
c269,16,63
c270,6,6
c271,31,65
c272,12,71
c273,6,67
c274,4,63
c275,57,18
c276,10,23
c277,14,55
c278,2,2
c279,44,4
c280,6,32
c281,6,71
c282,29,54
c283,4,13
c284,9,9
c285,3,3
c286,32,71
c287,30,20
c288,24,24
c289,1,13
c290,2,62
c291,3,80
c292,18,78
c293,9,9
c294,4,4
c295,58,58
c296,32,82
c297,8,53
c298,16,39
c299,46,29
c300,1,80
c301,23,98
c302,1,1
c303,13,13
c304,10,31
c305,32,81
c306,9,24
c307,48,36
c308,2,2
c309,21,78
c310,44,64
c311,3,5
c312,46,46
c313,69,50
c314,51,49
c315,58,12
c316,10,70
c317,3,92
c318,10,10
c319,28,28
c320,32,91
c321,30,76
c322,67,67
c323,26,26
c324,7,30
c325,17,49
c326,37,37
c327,8,20
c328,14,100
c329,11,97
c330,6,29
c331,18,39
c332,17,32
c333,39,39
c334,17,97
c335,14,14
c336,12,56
c337,1,7
c338,3,8
c339,15,44
c340,18,18
c341,12,85
c342,32,33
c343,28,28
c344,21,28
c345,28,66
c346,10,46
c347,9,49
c348,2,62
c349,6,51
c350,18,23
c351,21,96
c352,19,52
c353,60,22
c354,3,3
c355,10,10
c356,7,8
c357,8,58
c358,19,3
c359,2,31
c360,10,25
c361,27,27
c362,11,42
c363,5,54
c364,11,11
c365,5,89
c366,15,70
c367,2,31
c368,5,83
c369,1,71
c370,1,16
c371,11,42
c372,10,63
c373,18,72
c374,12,3
c375,15,96
c376,46,10
c377,18,96
c378,6,19
c379,35,32
c380,28,3
c381,67,81
c382,23,3
c383,11,34
c384,7,48
c385,25,25
c386,57,7
c387,23,49
c388,31,80
c389,2,21
c390,21,43
c391,1,1
c392,5,5
c393,12,14
c394,5,17
c395,56,65
c396,3,9
c397,10,10
c398,2,26
c399,15,71
c400,15,31
c401,15,15
c402,21,55
c403,20,40
c404,8,8
c405,7,95
c406,6,4
c407,15,20
c408,83,30
c409,27,40
c410,4,4
c411,17,90
c412,3,63
c413,33,33
c414,34,65
c415,7,50
c416,3,35
c417,7,40
c418,30,34
c419,55,6
c420,24,86
c421,9,80
c422,49,83
c423,4,4
c424,19,43
c425,30,83
c426,7,77
c427,52,33
c428,11,19
c429,11,11
c430,4,12
c431,16,16
c432,16,16
c433,8,89
c434,20,40
c435,5,99
c436,1,51
c437,37,38
c438,43,22
c439,18,14
c440,20,22
c441,22,78
c442,51,24
c443,14,2
c444,1,56
c445,11,91
c446,16,8
c447,17,54
c448,56,56
c449,32,45
c450,11,56
c451,2,80
c452,11,23
c453,10,78
c454,22,82
c455,25,46
c456,49,65
c457,1,26
c458,14,89
c459,4,51
c460,5,41
c461,8,94
c462,83,68
c463,13,18
c464,20,38
c465,87,78
c466,10,2
c467,28,50
c468,5,5
c469,26,65
c470,37,20
c471,7,77
c472,5,93
c473,48,20
c474,5,73
c475,5,5
c476,31,74
c477,8,8
c478,14,23
c479,23,23
c480,19,47
c481,25,1
c482,12,89
c483,9,27
c484,16,84
c485,18,8
c486,3,46
c487,63,98
c488,6,3
c489,5,81
c490,3,57
c491,20,25
c492,25,10
c493,4,94
c494,4,4
c495,24,59
c496,47,78
c497,20,84
c498,23,54
c499,2,89
c500,7,62
c501,1,44
c502,3,3
c503,9,44
c504,73,81
c505,3,82
c506,40,14
c507,11,48
c508,1,60
c509,24,23
c510,19,27
c511,11,41
c512,4,93
c513,15,3
c514,19,9
c515,17,22
c516,12,38
c517,3,97
c518,84,13
c519,5,21
c520,13,19
c521,44,19
c522,12,12
c523,37,70
c524,80,90
c525,18,23
c526,2,31
c527,11,55
c528,95,49
c529,8,24
c530,22,32
c531,35,38
c532,10,10
c533,5,64
c534,85,85
c535,33,33
c536,10,82
c537,5,84
c538,10,71
c539,4,48
c540,2,28
c541,2,40
c542,5,93
c543,27,33
c544,1,1
c545,8,56
c546,1,30
c547,11,96
c548,18,57
c549,10,67
c550,94,73
c551,22,92
c552,2,48
c553,44,67
c554,12,63
c555,15,52
c556,5,56
c557,5,5
c558,35,98
c559,13,13
c560,36,36
c561,12,27
c562,11,45
c563,2,58
c564,1,73
c565,4,12
c566,12,21
c567,16,57
c568,4,88
c569,25,48
c570,46,100
c571,65,97
c572,10,73
c573,20,11
c574,17,53
c575,25,39
c576,11,11
c577,32,8
c578,2,54
c579,43,43
c580,15,31
c581,17,17
c582,58,52
c583,26,35
c584,6,22
c585,43,43
c586,7,7
c587,10,19
c588,15,64
c589,3,31
c590,3,48
c591,6,6
c592,13,13
c593,3,3
c594,20,37
c595,3,31
c596,60,60
c597,35,58
c598,15,46
c599,39,55
c600,22,22
c601,21,61
c602,24,71
c603,13,56
c604,21,21
c605,6,31
c606,25,9
c607,29,70
c608,2,49
c609,30,1
c610,2,2
c611,9,33
c612,42,53
c613,60,42
c614,17,99
c615,15,43
c616,4,77
c617,5,56
c618,22,96
c619,50,22
c620,14,77
c621,6,35
c622,4,21
c623,11,95
c624,25,45
c625,26,23
c626,18,55
c627,81,99
c628,67,26
